(0.184828601636+0j)
(0.0925945653839-0.00477655572928j)
(0.0644510636423+0.024115111474j)
(0.0142427757817+0.0251147904714j)
(-0.0005328169998+0.0223217058176j)
(0.0286099245073-0.000231177707405j)
(-0.00123781311925+0.0274450458645j)
(-0.0315913331053+0.0423740804255j)
(-0.0183817420627+0.031240311379j)
(-0.0576121678233+0.0321451215791j)
(-0.0180153774024+0.00443281833284j)
(0.00804085486236+0.019166347203j)
(0.00295171643212+0.00259834717734j)
(-0.0332608911799-0.00427065742561j)
(-0.0238148189105-0.0103381881224j)
(-0.021292403977-0.035106685691j)
(-0.0328368867549+0.0348948108517j)
(-0.0381127612908+0.012962783283j)
(0.00652957510307-0.0173233306055j)
(-0.0081223555088+0.00900314670521j)
(-0.00441292762943-0.00356962734866j)
(-2.97900381223e-05-0.0182282881645j)
(0.0150713063754+0.0200869685761j)
(0.00616193292792-0.01207084636j)
(0.00430612070942-0.00602030363725j)
(0.00540988906233-8.32309421497e-05j)
(0.00781591518622-0.00857970729365j)
(0.00570897379691-0.000206458247591j)
(0.00495803756833+0.00015362689047j)
(0.0025465137191+0.00373067068202j)
(0.00696633476671+0.00510506403474j)
(0.00301721740803+0.00643272839438j)
(0.00703268594707+0.00776656302114j)
(-0.000592489552218+0.00480151474931j)
(0.00529371402906+0.00784916958065j)
(-0.0102140887023+0.00716426647139j)
(-0.00362532520715-0.00258638288083j)
(-0.00613434072764-0.00479181172153j)
(-0.00880733990335-0.00427735807373j)
(-0.00748472887003-0.00530441667178j)
(-0.00741695070977-0.00747111236073j)
(-0.00341484370702-0.0118544443289j)
(0.000857851481107-0.0134210834023j)
(0.0080747295229-0.0123398231672j)
(0.0144454491344-0.0161520450024j)
(0.0124060410469-0.00507346984482j)
(0.0147655169072+0.00348975465492j)
(0.0117615946852+0.0119571921419j)
(0.00773803428186+0.0153805637962j)
(0.00761856884293+0.0185283531761j)
(-0.00157860634211+0.01918249273j)
(-0.00929817241312+0.0189167755599j)
(-0.0174861828248+0.0142725235138j)
(-0.0258526540862+0.00833317897875j)
(-0.02237761688-0.00453645765194j)
(-0.0241922798941-0.0127347563453j)
(-0.0154261122613-0.0269854909894j)
(0.00084214329992-0.0330380317347j)
(0.00331724882847-0.0272103163689j)
(0.0192607307584-0.0246514464407j)
(0.0285819732168-0.0181535326454j)
(0.0308457271032-0.00667879131631j)
(0.0327171506419+0.00452780862337j)
(0.0314845767681+0.0177376370648j)
(0.0225334803619+0.0304108666051j)
(0.0101734680584+0.0383891071854j)
(-0.00899944298656+0.0406505008482j)
(-0.0230579909676+0.0354000303388j)
(-0.0371271045484+0.0235139935765j)
(-0.0431924338251+0.00624836214447j)
(-0.0448931556715-0.00802349632888j)
(-0.0386385363559-0.0251481954562j)
(-0.0286042699299-0.0373243361721j)
(-0.0130537198192-0.0525835054803j)
(0.0136101930312-0.0561057862815j)
(0.028912891113-0.0471766251905j)
(0.0503187505447-0.0308089534798j)
(0.0631469424276-0.00882310614144j)
(0.0578031696151+0.0122235900809j)
(0.0528009618056+0.0350047676913j)
(0.0382623610657+0.054067564833j)
(0.0145346393727+0.0677760092723j)
(-0.0150451019767+0.0722609682319j)
(-0.0416917937185+0.0631943263016j)
(-0.0667066248758+0.0453951993926j)
(-0.077135164649+0.0152947310771j)
(-0.0807626338085-0.0129689313961j)
(-0.073506961236-0.042705143685j)
(-0.0527514671178-0.068748561012j)
(-0.0215315048878-0.0906122641971j)
(0.0129629574927-0.0926965383099j)
(0.0518450900828-0.082431304395j)
(0.0829708094862-0.0624290184142j)
(0.10334571191-0.0260486942997j)
(0.107276164073+0.0125227043105j)
(0.0968929606792+0.0543325571548j)
(0.0709776437258+0.0893279889705j)
(0.0332747679383+0.113369708845j)
(-0.0107063127157+0.121303677221j)
(-0.0555106988565+0.108735625107j)
(-0.0942997572652+0.0826624147467j)
(-0.122458138744+0.0412907162429j)
(-0.130138547007-0.00512156011622j)
(-0.122557420406-0.0559419494014j)
(-0.0928229548716-0.100458136647j)
(-0.049381362785-0.130375563334j)
(0.00366044682074-0.142191624879j)
(0.0565041850985-0.131425791059j)
(0.104844466935-0.103407667728j)
(0.139014433525-0.0569924237641j)
(0.151690858553-0.00256930872677j)
(0.146185553622+0.0574525616131j)
(0.113957501876+0.108224125553j)
(0.0662960449791+0.145666165857j)
(0.00544745519501+0.163747971876j)
(-0.0572947060242+0.153499147365j)
(-0.111454833762+0.12200605868j)
(-0.153426634551+0.0709447882042j)
(-0.170632056325+0.00862378435084j)
(-0.164647363972-0.0584883384749j)
(-0.130771521389-0.111952403375j)
(-0.0798859239433-0.159020319837j)
(-0.0134795207654-0.18120501852j)
(0.056678763605-0.173143199931j)
(0.121771214348-0.140199261505j)
(0.166812915383-0.0821335123559j)
(0.18771992641-0.01391221948j)
(0.17985039711+0.0598892500076j)
(0.143835262704+0.121825530216j)
(0.0879622562596+0.170639059975j)
(0.0135929770277+0.192088226119j)
(-0.0591280566855+0.18379303425j)
(-0.128464366755+0.150706846221j)
(-0.175927012724+0.089142795849j)
(-0.199324926574+0.013677151938j)
(-0.190741388337-0.0649485091179j)
(-0.15303584599-0.134971982584j)
(-0.0868899115937-0.185763438038j)
(-0.00954631170871-0.203837548497j)
(0.0713380574721-0.194108171366j)
(0.139794658585-0.152849025392j)
(0.192160206899-0.0905897033259j)
(0.215652462118-0.00396635618777j)
(0.199162298721+0.0795977119382j)
(0.156121153186+0.153526651168j)
(0.0842095329198+0.201897188987j)
(-0.00207104537267+0.223418519458j)
(-0.089889162468+0.204504063479j)
(-0.163034427952+0.156841965882j)
(-0.215617810009+0.0800056152179j)
(-0.229882700416-0.00809680815674j)
(-0.212459962824-0.101328311275j)
(-0.155086432712-0.173856172671j)
