#Title,Digilent WaveForms Oscilloscope Data
#Device Name,Analog Discovery
#Serial Number,SN:210244516796
#Software Version,2.7.5
Time (s),C1 (V),C2 (V)
-5,0.230024784032976,-0.518857786022306
-4.99875,0.229689686754187,-0.523578670167169
-4.9975,0.229689686754187,-0.538415734622452
-4.99625,0.229689686754187,-0.518857786022306
-4.995,0.229354589475398,-0.538078528612105
-4.99375,0.22901949219661,-0.5323460264362
-4.9925,0.230024784032976,-0.517508961980917
-4.99125,0.229689686754187,-0.538415734622452
-4.99,0.229354589475398,-0.524927494208558
-4.98875,0.229689686754187,-0.525601906229253
-4.9875,0.229689686754187,-0.5323460264362
-4.98625,0.22901949219661,-0.522904258146474
-4.985,0.229354589475398,-0.533357644467242
-4.98375,0.230024784032976,-0.525939112239601
-4.9825,0.229354589475398,-0.529648378353421
-4.98125,0.229689686754187,-0.538078528612105
-4.98,0.229689686754187,-0.516160137939528
-4.97875,0.229689686754187,-0.534032056487937
-4.9775,0.22901949219661,-0.534032056487937
-4.97625,0.229689686754187,-0.524927494208558
-4.975,0.230024784032976,-0.528636760322379
-4.97375,0.229354589475398,-0.526613524260295
-4.9725,0.229689686754187,-0.531334408405158
-4.97125,0.229689686754187,-0.531334408405158
-4.97,0.229354589475398,-0.524590288198211
-4.96875,0.22901949219661,-0.531671614415505
-4.9675,0.230024784032976,-0.526613524260295
-4.96625,0.229689686754187,-0.527962348301685
-4.965,0.229354589475398,-0.535043674518979
-4.96375,0.230024784032976,-0.529311172343074
-4.9625,0.229689686754187,-0.521555434105085
-4.96125,0.22901949219661,-0.526950730270643
-4.96,0.229354589475398,-0.5323460264362
-4.95875,0.230024784032976,-0.527625142291337
-4.9575,0.229354589475398,-0.529648378353421
-4.95625,0.229689686754187,-0.528299554312032
-4.955,0.230024784032976,-0.527962348301685
-4.95375,0.229689686754187,-0.5323460264362
-4.9525,0.22901949219661,-0.529985584363769
-4.95125,0.230024784032976,-0.529311172343074
-4.95,0.230024784032976,-0.526950730270643
-4.94875,0.229354589475398,-0.525939112239601
-4.9475,0.229689686754187,-0.52728793628099
-4.94625,0.230024784032976,-0.532683232446548
-4.945,0.229354589475398,-0.530997202394811
-4.94375,0.22901949219661,-0.530322790374116
-4.9425,0.230024784032976,-0.528973966332727
-4.94125,0.229354589475398,-0.524590288198211
-4.94,0.229354589475398,-0.532008820425853
-4.93875,0.229689686754187,-0.524590288198211
-4.9375,0.229354589475398,-0.530659996384463
-4.93625,0.22901949219661,-0.537741322601758
-4.935,0.22901949219661,-0.521218228094738
-4.93375,0.230024784032976,-0.531334408405158
-4.9325,0.229354589475398,-0.536055292550021
-4.93125,0.229354589475398,-0.528973966332727
-4.93,0.229689686754187,-0.522904258146474
-4.92875,0.229354589475398,-0.528299554312032
-4.9275,0.22901949219661,-0.533357644467242
-4.92625,0.229689686754187,-0.531671614415505
-4.925,0.229689686754187,-0.525264700218906
-4.92375,0.229354589475398,-0.530997202394811
-4.9225,0.229689686754187,-0.52728793628099
-4.92125,0.229689686754187,-0.524253082187864
-4.92,0.229354589475398,-0.536729704570716
-4.91875,0.22901949219661,-0.525264700218906
-4.9175,0.230024784032976,-0.524927494208558
-4.91625,0.229689686754187,-0.5323460264362
-4.915,0.229354589475398,-0.521218228094738
-4.91375,0.230024784032976,-0.539427352653495
-4.9125,0.229689686754187,-0.5323460264362
-4.91125,0.22901949219661,-0.514136901877444
-4.91,0.229354589475398,-0.534369262498284
-4.90875,0.230024784032976,-0.521218228094738
-4.9075,0.229354589475398,-0.533357644467242
-4.90625,0.229354589475398,-0.532683232446548
-4.905,0.229689686754187,-0.522904258146474
-4.90375,0.229354589475398,-0.536055292550021
-4.9025,0.228684394917821,-0.526276318249948
-4.90125,0.229689686754187,-0.5323460264362
-4.9,0.229689686754187,-0.5323460264362
-4.89875,0.229354589475398,-0.526276318249948
-4.8975,0.229689686754187,-0.52728793628099
-4.89625,0.229689686754187,-0.532008820425853
-4.895,0.22901949219661,-0.532008820425853
-4.89375,0.228684394917821,-0.532008820425853
-4.8925,0.229689686754187,-0.526276318249948
-4.89125,0.229354589475398,-0.526613524260295
-4.89,0.229354589475398,-0.527625142291337
-4.88875,0.229689686754187,-0.535380880529326
-4.8875,0.229354589475398,-0.521555434105085
-4.88625,0.22901949219661,-0.5387529406328
-4.885,0.229354589475398,-0.526613524260295
-4.88375,0.230024784032976,-0.523241464156822
-4.8825,0.229354589475398,-0.537066910581063
