#Title,Digilent WaveForms Oscilloscope Data
#Device Name,Analog Discovery
#Serial Number,SN:210244516796
#Software Version,2.7.5
Time (s),C1 (V),C2 (V)
-5,0.229976243199136,-0.516160137939528
-4.99875,0.230311340477925,-0.532008820425853
-4.9975,0.229976243199136,-0.534369262498284
-4.99625,0.229641145920348,-0.533020438456895
-4.995,0.230311340477925,-0.527625142291337
-4.99375,0.229976243199136,-0.52088102208439
-4.9925,0.229641145920348,-0.530322790374116
-4.99125,0.230311340477925,-0.533357644467242
-4.99,0.229976243199136,-0.524590288198211
-4.98875,0.229641145920348,-0.53369485047759
-4.9875,0.229641145920348,-0.528973966332727
-4.98625,0.230311340477925,-0.519869404053348
-4.985,0.229976243199136,-0.533357644467242
-4.98375,0.229976243199136,-0.530659996384463
-4.9825,0.230311340477925,-0.529648378353421
-4.98125,0.229976243199136,-0.524927494208558
-4.98,0.229641145920348,-0.528973966332727
-4.97875,0.230311340477925,-0.527625142291337
-4.9775,0.230311340477925,-0.524590288198211
-4.97625,0.229976243199136,-0.529311172343074
-4.975,0.230311340477925,-0.528973966332727
-4.97375,0.230311340477925,-0.524927494208558
-4.9725,0.229976243199136,-0.530322790374116
-4.97125,0.229641145920348,-0.533357644467242
-4.97,0.230311340477925,-0.512450871825707
-4.96875,0.230311340477925,-0.536392498560368
-4.9675,0.229976243199136,-0.526613524260295
-4.96625,0.230311340477925,-0.523578670167169
-4.965,0.230311340477925,-0.542799412756968
-4.96375,0.229641145920348,-0.510090429753275
-4.9625,0.229641145920348,-0.540101764674189
-4.96125,0.230646437756714,-0.524253082187864
-4.96,0.229976243199136,-0.522567052136127
-4.95875,0.229976243199136,-0.543473824777662
-4.9575,0.230311340477925,-0.511776459805012
-4.95625,0.229976243199136,-0.534706468508632
-4.955,0.229306048641559,-0.530659996384463
-4.95375,0.229976243199136,-0.51717175597057
-4.9525,0.230311340477925,-0.541450588715579
-4.95125,0.229976243199136,-0.519869404053348
-4.95,0.229976243199136,-0.527962348301685
-4.94875,0.230311340477925,-0.53740411659141
-4.9475,0.229641145920348,-0.52222984612578
-4.94625,0.229641145920348,-0.530322790374116
-4.945,0.230311340477925,-0.524590288198211
-4.94375,0.230311340477925,-0.526613524260295
-4.9425,0.229976243199136,-0.535718086539674
-4.94125,0.230311340477925,-0.525601906229253
-4.94,0.229976243199136,-0.525601906229253
-4.93875,0.229641145920348,-0.535718086539674
-4.9375,0.229641145920348,-0.521218228094738
-4.93625,0.230646437756714,-0.531671614415505
-4.935,0.229976243199136,-0.528973966332727
-4.93375,0.229641145920348,-0.518520580011959
-4.9325,0.230311340477925,-0.536729704570716
-4.93125,0.229976243199136,-0.523915876177516
-4.93,0.229641145920348,-0.535043674518979
-4.92875,0.229976243199136,-0.522904258146474
-4.9275,0.230311340477925,-0.52088102208439
-4.92625,0.229976243199136,-0.5387529406328
-4.925,0.229976243199136,-0.526950730270643
-4.92375,0.229976243199136,-0.531334408405158
-4.9225,0.229641145920348,-0.526613524260295
-4.92125,0.229306048641559,-0.523578670167169
-4.92,0.230311340477925,-0.529648378353421
-4.91875,0.229976243199136,-0.526950730270643
-4.9175,0.229976243199136,-0.530659996384463
-4.91625,0.229976243199136,-0.528299554312032
-4.915,0.229976243199136,-0.534369262498284
-4.91375,0.229641145920348,-0.524590288198211
-4.9125,0.229641145920348,-0.534032056487937
-4.91125,0.230311340477925,-0.523578670167169
-4.91,0.229976243199136,-0.529648378353421
-4.90875,0.229976243199136,-0.536055292550021
-4.9075,0.230311340477925,-0.525264700218906
-4.90625,0.229976243199136,-0.529985584363769
-4.905,0.229306048641559,-0.527625142291337
